timestamp,angle,distance
2025-06-26 20:31:59,120,15.97
2025-06-26 20:32:02,150,802.81
2025-06-26 20:32:05,180,15.97
2025-06-26 20:32:08,0,15.97
2025-06-26 20:32:11,30,802.77
2025-06-26 20:32:17,60,802.77
2025-06-26 20:32:20,90,802.89
2025-06-26 20:32:24,120,802.84
2025-06-26 20:32:27,150,802.83
2025-06-26 20:32:30,180,30.82
2025-06-26 20:32:34,0,7.17
2025-06-26 20:32:37,30,9.16
2025-06-26 20:32:41,60,56.77
2025-06-26 20:32:45,90,13.58
2025-06-26 20:32:48,120,9.16
2025-06-26 20:32:51,150,9.16
2025-06-26 20:32:54,180,7.82
2025-06-26 20:32:57,0,7.8
2025-06-26 20:33:00,30,7.82
2025-06-26 20:33:03,60,7.82
2025-06-26 20:33:07,90,7.8
2025-06-26 20:33:10,120,7.82
2025-06-26 20:33:13,150,7.82
2025-06-26 20:33:16,180,7.8
2025-06-26 20:33:19,0,58.58
2025-06-26 20:33:22,30,57.32
2025-06-26 20:33:25,60,57.74
2025-06-26 20:33:28,90,9.5
2025-06-26 20:33:31,120,9.5
2025-06-26 20:33:34,150,9.5
2025-06-26 20:33:38,180,7.82
2025-06-26 20:33:41,0,9.16
2025-06-26 20:33:44,30,6.84
2025-06-26 20:33:47,60,13.24
2025-06-26 20:33:50,90,11.88
2025-06-26 20:33:53,120,7.8
2025-06-26 20:33:56,150,8.15
2025-06-26 20:34:00,180,8.13
2025-06-26 20:34:03,0,8.15
2025-06-26 20:34:06,30,8.13
2025-06-26 20:34:09,60,8.13
2025-06-26 20:34:12,90,8.15
2025-06-26 20:34:15,120,9.84
2025-06-26 20:34:19,150,9.84
2025-06-26 20:34:23,180,8.13
2025-06-26 20:34:26,0,8.15
2025-06-26 20:34:29,30,9.84
2025-06-26 20:34:32,60,9.84
2025-06-26 20:34:35,90,9.84
2025-06-26 20:34:38,120,8.13
2025-06-26 20:34:41,150,9.5
2025-06-26 20:34:44,180,12.91
2025-06-26 20:34:49,0,57.18
